id	deck_name	category	subcategory	study_tier	suggested_start_week	kind	study_role	core_featured	app_active_default	japanese	romaji	english	usage_note	example_japanese	example_english	literal_breakdown	recommended_directions	issues	fixes_applied	source_order	source_note_id
MJD-042-1	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	十	juu	Ten	十 = 10. 十一 = 11. 二十 = 20. 百 = 100. 千 = 1,000. Stack numbers to make bigger ones.	千円 です。	It is one thousand yen.	One thousand yen → is.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	42	1776306275919
MJD-042-2	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	百	hyaku	Hundred	十 = 10. 十一 = 11. 二十 = 20. 百 = 100. 千 = 1,000. Stack numbers to make bigger ones.	千円 です。	It is one thousand yen.	One thousand yen → is.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	42	1776306275919
MJD-042-3	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	千	sen	Thousand	十 = 10. 十一 = 11. 二十 = 20. 百 = 100. 千 = 1,000. Stack numbers to make bigger ones.	千円 です。	It is one thousand yen.	One thousand yen → is.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	42	1776306275919
MJD-018	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	おはようございます	ohayou gozaimasu	Good morning (polite)	Use with anyone you don't know well. With close friends, おはよう alone is fine.	おはようございます！今日も よい一日を。	Good morning! Have a great day today too.	Good morning! Today also → good day [have].	jp_to_en, en_to_jp			18	1776306275871
MJD-019	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	こんにちは	konnichiwa	Hello / Good afternoon	The standard daytime greeting. Safe to use with absolutely anyone.	こんにちは！はじめまして。	Hello! Nice to meet you.	Hello! → First time meeting.	jp_to_en, en_to_jp			19	1776306275873
MJD-020	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	こんばんは	konbanwa	Good evening	Used after the sun goes down. Same politeness as こんにちは.	こんばんは！礼拝は どうでしたか？	Good evening! How was the service?	Good evening! Service [topic] → how was?	jp_to_en, en_to_jp			20	1776306275875
MJD-021	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	おやすみなさい	oyasumi nasai	Good night	Said when someone is going to sleep or leaving for the night. Not a general goodbye.	おやすみなさい。また明日！	Good night. See you tomorrow!	Good night. Again tomorrow!	jp_to_en, en_to_jp			21	1776306275877
MJD-022	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	さようなら	sayounara	Goodbye (formal / final)	Carries a sense of finality — like you won't see them for a long time. Use またね for casual.	さようなら。また来年 会いましょう。	Goodbye. Let's meet again next year.	Goodbye. Again next year → let's meet.	jp_to_en, en_to_jp	high_formality_or_finality		22	1776306275879
MJD-023-1	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	じゃあね	jaa ne	See you / bye	Casual goodbye used with people you know.	じゃあね！連絡してね。	Bye! Stay in touch.	Bye! Contact [please do], okay?	jp_to_en, en_to_jp	multi_concept_source_card	split_into_atomic_entries	23	1776306275881
MJD-023-2	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	またね	mata ne	See you later / bye for now	Friendly warm goodbye; better than さようなら for casual follow-up.	じゃあね！連絡してね。	Bye! Stay in touch.	Bye! Contact [please do], okay?	jp_to_en, en_to_jp	multi_concept_source_card	split_into_atomic_entries	23	1776306275881
MJD-024	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	はじめまして	hajimemashite	Nice to meet you (first meeting only)	ONLY for the very first time you meet someone. Always follow with よろしくお願いします.	はじめまして。ジョンです。よろしく！	Nice to meet you. I'm Jon. Pleased to meet you!	First meeting. Jon → am. Please treat me well!	jp_to_en, en_to_jp			24	1776306275883
MJD-025	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	よろしくお願いします	yoroshiku onegaishimasu	Pleased to meet you / Please be kind to me	No perfect English translation. Closes a self-intro and expresses goodwill. Never skip it!	アメリカから来ました。よろしくお願いします。	I came from America. Pleased to meet you.	America [from] came. → Kindly please treat me.	jp_to_en, en_to_jp			25	1776306275885
MJD-026	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	ありがとうございます	arigatou gozaimasu	Thank you (polite)	The full polite thank you. Use with anyone you want to show respect.	助けてくれて ありがとうございます。	Thank you for helping me.	Help [giving me] → thank you.	jp_to_en, en_to_jp			26	1776306275887
MJD-027	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	どういたしまして	douitashimashite	You're welcome	Formal response to ありがとう. In casual settings, 大丈夫 or いいえ also work.	ありがとう！— どういたしまして。	Thank you! — You're welcome.	Thank you! → You're welcome.	jp_to_en, en_to_jp			27	1776306275889
MJD-028	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	すみません	sumimasen	Excuse me / I'm sorry	Gets someone's attention OR lightly apologizes. One of the most-used words on any Japan trip!	すみません、トイレは どこですか？	Excuse me, where is the restroom?	Excuse me, restroom [topic] → where is?	jp_to_en, en_to_jp			28	1776306275891
MJD-029	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	ごめんなさい	gomen nasai	I'm sorry (genuine apology)	Stronger than すみません. Use when you've actually done something wrong.	遅れて ごめんなさい。	I'm sorry for being late.	Being late [for] → I'm sorry.	jp_to_en, en_to_jp			29	1776306275893
MJD-030	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	大丈夫です	daijoubu desu	It's okay / I'm fine / No problem	Very versatile. Can mean 'I'm fine,' 'no worries,' or even 'no thank you' depending on context.	大丈夫ですか？— はい、大丈夫です。	Are you okay? — Yes, I'm fine.	Okay are you? → Yes, okay am.	jp_to_en, en_to_jp			30	1776306275895
MJD-031-1	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	はい	hai	Yes	Polite yes.	教会に来ますか？— はい、行きます。	Will you come to church? — Yes, I will.	Church to come? → Yes, go.	jp_to_en, en_to_jp	multi_concept_source_card	split_into_atomic_entries	31	1776306275897
MJD-031-2	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	いいえ	iie	No	Polite no.	教会に来ますか？— はい、行きます。	Will you come to church? — Yes, I will.	Church to come? → Yes, go.	jp_to_en, en_to_jp	multi_concept_source_card	split_into_atomic_entries	31	1776306275897
MJD-032	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	わかります	wakarimasu	I understand	わかります = I understand. わかりません = I don't understand. You'll use both constantly.	少し わかります。でも、ゆっくり 話してください。	I understand a little. But please speak slowly.	A little → understand. But, slowly → please speak.	jp_to_en, en_to_jp			32	1776306275899
MJD-033	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	もう一度お願いします	mou ichido onegaishimasu	Please say that again	Literally 'one more time, please.' Never be embarrassed to use this — people will appreciate it.	すみません、もう一度 お願いします。	Excuse me, please say that again.	Excuse me, one more time → please.	jp_to_en, en_to_jp			33	1776306275901
MJD-034	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	日本語が少しわかります	nihongo ga sukoshi wakarimasu	I understand a little Japanese	少し = a little. Humble and honest. Sets good expectations and earns instant goodwill.	日本語が少しわかります。英語を 話せますか？	I understand a little Japanese. Do you speak English?	Japanese [subject] a little understand. English [object] → speak can?	jp_to_en, en_to_jp			34	1776306275903
MJD-035	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	お元気ですか？	ogenki desu ka?	How are you? (polite)	お元気 = your wellbeing (お makes it polite). A warm, caring way to greet someone.	お元気ですか？— はい、元気です！	How are you? — Yes, I'm well!	Well are you? → Yes, well am!	jp_to_en, en_to_jp			35	1776306275905
MJD-036	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	そうですね	sou desu ne	That's right / I agree / Indeed	One of the most natural filler phrases in Japanese. Shows you're listening and agreeing.	日本は美しいですね。— そうですね！	Japan is beautiful, isn't it. — Yes, indeed!	Japan [topic] beautiful is, right? → That's right!	jp_to_en, en_to_jp			36	1776306275907
MJD-037	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	なるほど	naruhodo	I see / Makes sense / Ah, I understand	Said when something clicks. A very natural response when someone explains something to you.	このバスは 札幌駅に 行きます。— なるほど！	This bus goes to Sapporo Station. — Ah, I see!	This bus [topic] → Sapporo station [to] → goes. — I see!	jp_to_en, en_to_jp			37	1776306275909
MJD-038	JP Missions :: 01 Relationship	relationship	greetings_and_repair	must_now	1	phrase	active	False	True	また会いましょう	mata aimashou	Let's meet again	また = again. 会いましょう = let's meet. Warm and genuine — perfect for ending a good conversation.	また会いましょう。連絡してください。	Let's meet again. Please keep in touch.	Again → let's meet. Contact → please do.	jp_to_en, en_to_jp			38	1776306275911
MJD-128	JP Missions :: 01 Relationship	relationship	self_intro	must_now	1	core_sentence	production	True	True	はじめまして。アメリカの教会から来ました。よろしくお願いします。	hajimemashite. amerika no kyoukai kara kimashita. yoroshiku onegaishimasu.	The complete self-introduction	This is your opening. Say it every single time you meet someone new. Own it completely.	はじめまして。アメリカの教会から来ました。よろしくお願いします。	Nice to meet you. I came from a church in America. Pleased to meet you.	First meeting. America's church [from] came. Kindly please treat me.	jp_to_en, en_to_jp, shadowing			128	1776306276091
MJD-107	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	またお話しできますか？	mata ohanashi dekimasu ka?	Can we talk again?	また = again. お話し = conversation (polite). できますか？ = can we/is it possible?	またお話し できますか？	Can we talk again?	Again talking → can we?	jp_to_en, en_to_jp			107	1776306276049
MJD-108	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	連絡先を交換しませんか？	renrakusaki wo koukan shimasen ka?	Would you like to exchange contact info?	連絡先 = contact information. 交換する = to exchange. 〜しませんか？ = wouldn't you like to?	連絡先を 交換しませんか？	Would you like to exchange contact info?	Contact info [object] → wouldn't you like to exchange?	jp_to_en, en_to_jp			108	1776306276051
MJD-109	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	札幌	Sapporo	Sapporo	The city where you'll be. 札幌駅 = Sapporo Station. 大通り = Odori (main street area).	札幌は 美しい街 です。	Sapporo is a beautiful city.	Sapporo [topic] → beautiful city → is.	jp_to_en, en_to_jp			109	1776306276053
MJD-110	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	___行きのバスはどこですか？	___ yuki no basu wa doko desu ka?	Where is the bus going to ___?	___行き = bound for ___. の = possessive. Just fill in your destination before 行き.	教会行きのバスは どこですか？	Where is the bus going to the church?	Church-bound bus [topic] → where is?	jp_to_en, en_to_jp			110	1776306276055
MJD-111	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	乗り換えが必要ですか？	norikae ga hitsuyou desu ka?	Do I need to transfer?	乗り換え = transfer (switching vehicles). 必要 = necessary/needed. Good to ask bus drivers.	乗り換えが 必要ですか？	Do I need to transfer?	Transfer [subject] → necessary is?	jp_to_en, en_to_jp			111	1776306276057
MJD-112	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	何番線ですか？	nanban sen desu ka?	Which platform / line number?	何番 = what number. 線 = line/track. Ask this at stations to find the right platform.	札幌行きは 何番線ですか？	Which platform for Sapporo?	Sapporo-bound [topic] → which line is?	jp_to_en, en_to_jp			112	1776306276059
MJD-113	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	時刻表はありますか？	jikokuhyou wa arimasu ka?	Is there a timetable?	時刻 = time. 表 = chart/table. A bus or train schedule. Very useful for planning.	バスの時刻表は ありますか？	Is there a bus timetable?	Bus timetable [topic] → is there?	jp_to_en, en_to_jp			113	1776306276061
MJD-114	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	助けてください	tasukete kudasai	Please help me	助ける = to help/rescue. 〜てください = please do. Say this clearly if you are in trouble.	すみません、助けてください。迷ってしまいました。	Excuse me, please help me. I got lost.	Excuse me, please help. Lost [got accidentally].	jp_to_en, en_to_jp			114	1776306276063
MJD-115	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	地図はありますか？	chizu wa arimasu ka?	Is there a map?	地図 = map. あります = there is/exists. ありませんか = isn't there? Good at any info desk.	すみません、地図は ありますか？	Excuse me, is there a map?	Excuse me, map [topic] → is there?	jp_to_en, en_to_jp			115	1776306276065
MJD-116	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	家族はいますか？	kazoku wa imasu ka?	Do you have family?	家族 = family. います = there is (for people/animals). いません = there is not.	家族は いますか？— はい、妻と子供が います。	Do you have family? — Yes, I have a wife and children.	Family [topic] → is there? → Yes, wife and children → are.	jp_to_en, en_to_jp			116	1776306276067
MJD-117	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	子供はいますか？	kodomo wa imasu ka?	Do you have children?	子供 = child/children. います = exists/are (for living things). A warm conversation starter.	子供は いますか？— はい、三人 います。	Do you have children? — Yes, I have three.	Children [topic] → are there? → Yes, three → are.	jp_to_en, en_to_jp			117	1776306276069
MJD-118	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	仕事は何ですか？	shigoto wa nan desu ka?	What is your job?	仕事 = work/job. 何 = what. A natural question when getting to know someone.	仕事は 何ですか？	What is your job?	Job [topic] → what is?	jp_to_en, en_to_jp			118	1776306276071
MJD-119	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	趣味は何ですか？	shumi wa nan desu ka?	What are your hobbies?	趣味 = hobby/interest. 何 = what. Opens up fun and friendly conversation.	趣味は 何ですか？— 写真を 撮ります。	What are your hobbies? — I take photos.	Hobby [topic] → what is? → Photos [object] → take.	jp_to_en, en_to_jp			119	1776306276073
MJD-120	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	どこに住んでいますか？	doko ni sunde imasu ka?	Where do you live?	どこ = where. 住んでいます = am living (ongoing state). 〜ていますか = are you ___ing?	どこに 住んでいますか？— 札幌に 住んでいます。	Where do you live? — I live in Sapporo.	Where [in] → living? → Sapporo [in] → living.	jp_to_en, en_to_jp			120	1776306276075
MJD-121	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	札幌は好きですか？	Sapporo wa suki desu ka?	Do you like Sapporo?	好き = like/fond of. ですか = polite question. A great way to invite someone to share.	札幌は 好きですか？— はい、大好きです！	Do you like Sapporo? — Yes, I love it!	Sapporo [topic] → like? → Yes, love it!	jp_to_en, en_to_jp			121	1776306276077
MJD-122	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	日本が大好きです	Nihon ga daisuki desu	I love Japan	大好き = love very much (大 = big/great + 好き = like). Say this and watch faces light up.	日本が 大好きです。また来たいです。	I love Japan. I want to come again.	Japan [subject] → love. Again → want to come.	jp_to_en, en_to_jp			122	1776306276079
MJD-123	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	また来たいです	mata kitai desu	I want to come again	また = again. 来たい = want to come. 来たいです = want to come (polite). A warm farewell.	日本が大好きです。また来たいです。	I love Japan. I want to come again.	Japan love. Again → want to come.	jp_to_en, en_to_jp			123	1776306276081
MJD-124	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	一緒に食事しませんか？	issho ni shokuji shimasen ka?	Would you like to eat together?	一緒に = together. 食事 = meal. 〜しませんか？ = wouldn't you like to...? Warm invitation.	一緒に 食事しませんか？	Would you like to eat together?	Together → meal wouldn't you like to have?	jp_to_en, en_to_jp			124	1776306276083
MJD-125	JP Missions :: 01 Relationship	relationship	connection_and_followup	must_now	2	phrase	active	False	True	連絡してください	renraku shite kudasai	Please keep in touch	連絡する = to contact/reach out. 〜してください = please do. Say this at every goodbye.	またね。連絡してください。	Bye. Please keep in touch.	Bye. Contact → please do.	jp_to_en, en_to_jp			125	1776306276085
MJD-132	JP Missions :: 01 Relationship	relationship	farewell_followup	must_now	2	core_phrase	production	True	True	また会いましょう。連絡してください。	mata aimashou. renraku shite kudasai.	The farewell that keeps the door open	Again → let's meet. Contact → please do. Say this to everyone you want to see again.	また会いましょう。連絡してください。	Let's meet again. Please keep in touch.	Again → let's meet. Contact → please do.	jp_to_en, en_to_jp, shadowing			132	1776306276099
MJD-043	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	must_now	4	phrase	active	False	True	いくらですか？	ikura desu ka?	How much does it cost?	いくら = how much (money). ですか = polite question. Essential for any shopping.	これは いくらですか？	How much is this?	This [topic] → how much is?	jp_to_en, en_to_jp			43	1776306275921
MJD-044	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	soon	4	phrase	active	False	True	___円です	___ en desu	It is ___ yen	Just say the number + 円 + です. No extra words needed. 五百円です = It's 500 yen.	五百円 です。	It is 500 yen.	Five hundred yen → is.	jp_to_en, en_to_jp			44	1776306275923
MJD-045	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	must_now	4	phrase	active	False	True	どこですか？	doko desu ka?	Where is it?	どこ = where. Put any place before it: 教会はどこですか？ = Where is the church?	トイレは どこですか？	Where is the restroom?	Restroom [topic] → where is?	jp_to_en, en_to_jp			45	1776306275925
MJD-046-1	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	soon	4	vocab	active	False	True	右	migi	Right	右 = right. 左 = left. You'll use these when someone gives you directions.	右に 曲がってください。	Please turn right.	Right [to] → please turn.	jp_to_en, en_to_jp	multi_concept_source_card	split_into_atomic_entries	46	1776306275927
MJD-046-2	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	soon	4	vocab	active	False	True	左	hidari	Left	右 = right. 左 = left. You'll use these when someone gives you directions.	右に 曲がってください。	Please turn right.	Right [to] → please turn.	jp_to_en, en_to_jp	multi_concept_source_card	split_into_atomic_entries	46	1776306275927
MJD-047	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	must_now	4	phrase	active	False	True	まっすぐ	massugu	Straight ahead	Used when giving or getting directions. まっすぐ行ってください = please go straight.	まっすぐ 行ってください。	Please go straight ahead.	Straight ahead → please go.	jp_to_en, en_to_jp			47	1776306275929
MJD-048	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	soon	4	phrase	active	False	True	近い / 遠い	chikai / tooi	Near / Far	近い = close/near. 遠い = far. Very useful for judging distances when navigating.	駅は 近いですか？	Is the station nearby?	Station [topic] → near is?	jp_to_en, en_to_jp			48	1776306275931
MJD-049-1	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	must_now	4	vocab	active	False	True	ここ	koko	Here	ここ = here (near me). そこ = there (near you). あそこ = over there (away from both of us).	教会は あそこです。	The church is over there.	Church [topic] → over there is.	jp_to_en, en_to_jp	multi_concept_source_card	split_into_atomic_entries	49	1776306275933
MJD-049-2	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	must_now	4	vocab	active	False	True	そこ	soko	There (near you)	ここ = here (near me). そこ = there (near you). あそこ = over there (away from both of us).	教会は あそこです。	The church is over there.	Church [topic] → over there is.	jp_to_en, en_to_jp	multi_concept_source_card	split_into_atomic_entries	49	1776306275933
MJD-049-3	JP Missions :: 02 Navigation & Survival	navigation_survival	transit_food_survival	must_now	4	vocab	active	False	True	あそこ	asoko	Over there	ここ = here (near me). そこ = there (near you). あそこ = over there (away from both of us).	教会は あそこです。	The church is over there.	Church [topic] → over there is.	jp_to_en, en_to_jp	multi_concept_source_card	split_into_atomic_entries	49	1776306275933
